adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
54:F0:97:D3:D8:1C,255,10,NA,1,-75,0,1544786705449,127,2
CD:96:D0:2D:C3:7C,255,10,NA,1,-93,0,1544786707490,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-65,0,1544786707733,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-88,0,1544786707784,127,0
4D:0B:AB:63:E8:C6,255,10,NA,1,-75,0,1544786707823,127,2
0A:38:E2:23:B9:E9,255,10,NA,1,-95,0,1544786707826,127,0
5A:E5:C3:42:20:EE,255,10,NA,1,-89,0,1544786707862,127,2
CE:97:D1:2E:C4:7D,255,10,NA,1,-100,0,1544786707865,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-94,0,1544786707868,127,0
EC:91:28:A9:C9:09,255,10,NA,1,-99,0,1544786707877,127,2
54:F0:97:D3:D8:1C,255,10,NA,1,-80,0,1544786707901,127,2
C0:48:E6:AA:DA:A5,255,10,NA,1,-79,0,1544786707907,127,0
65:7D:48:DF:38:0C,255,10,NA,1,-89,0,1544786707919,127,2
6A:E5:CF:E3:2A:C8,255,10,NA,1,-91,0,1544786707928,127,2
E0:FE:13:46:36:D6,255,10,AirCube 000006A6,1,-85,0,1544786707954,127,2
28:C1:82:D5:EA:3C,255,10,NA,1,-96,0,1544786707957,127,0
D9:3E:3E:64:1D:49,255,10,NA,1,-94,0,1544786708006,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-91,0,1544786708009,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-65,0,1544786708056,127,0
4D:0B:AB:63:E8:C6,255,10,NA,1,-94,0,1544786708097,127,2
CD:96:D0:2D:C3:7C,255,10,NA,1,-90,0,1544786708101,127,0
65:7D:48:DF:38:0C,255,10,NA,1,-86,0,1544786708110,127,2
36:FF:0C:3B:7B:1D,255,10,NA,1,-94,0,1544786708113,127,0
5A:E5:C3:42:20:EE,255,10,NA,1,-96,0,1544786708130,127,2
C0:01:CA:1F:4B:58,255,10,NA,1,-98,0,1544786708157,127,0
D9:3E:3E:64:1D:49,255,10,NA,1,-96,0,1544786708161,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-85,0,1544786708165,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-94,0,1544786708169,127,0
54:F0:97:D3:D8:1C,255,10,NA,1,-79,0,1544786708178,127,2
C0:48:E6:AA:DA:A5,255,10,NA,1,-62,0,1544786708222,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-97,0,1544786708225,127,0
FB:82:C6:98:FD:89,255,10,NA,1,-93,0,1544786708269,127,0
28:C1:82:D5:EA:3C,255,10,NA,1,-93,0,1544786708273,127,0
EF:C3:BC:04:55:5C,255,10,NA,1,-91,0,1544786708290,127,0
6A:E5:CF:E3:2A:C8,255,10,NA,1,-86,0,1544786708414,127,2
